Gene.Symbol,Essentiality_Rep1,Essentiality_Rep2
AAMP,-1.52800201,-1.338758858
AARS,-1.794768618,-1.740875331
AASDHPPT,-1.985242582,-1.348690589
AATF,-1.05214575,-1.199326362
ABCB7,-1.268586106,-0.976569016
ABCE1,-1.547563868,-1.457093488
ABCF1,-1.124900292,-0.775289293
ABT1,-1.185493751,-1.156829144
ACAD9,-1.481730159,-0.79208691
ACLY,-2.222403351,-1.29154988
ACO2,-1.154906655,-0.864723171
ACTB,-1.552384844,-1.18723661
ACTL6A,-2.292014595,-1.921294329
ACTR10,-1.871026579,-1.601300558
ACTR2,-1.441410642,-1.414232478
ACTR3,-0.978953536,-0.820091925
ACTR5,-0.920343682,-0.907939464
ACTR6,-1.416899232,-1.114853225
ACTR8,-1.063755484,-0.766604772
ADSL,-2.655355458,-2.647023925
ADSS,-0.934648971,-1.078477479
AHCY,-2.222801458,-1.710937256
AHCYL1,-0.832229764,-0.833981096
AHR,-1.095098196,-0.963878872
AK2,-0.836014271,-0.850629481
ALAS1,-1.199910732,-1.025196989
ALDOA,-3.105916696,-2.499954758
ALG1,-2.597283251,-2.019950736
ALG11,-1.055191581,-1.023883251
ALG13,-1.800160031,-1.271216961
ALG14,-1.062519171,-0.800226639
ALG2,-3.060263182,-2.534892834
ALYREF,-1.514987669,-1.399823828
AMBRA1,-1.348838968,-1.001969647
ANAPC1,-1.249162069,-1.207778153
ANAPC11,-2.226486611,-1.79731444
ANAPC2,-1.566907805,-1.293042858
ANAPC4,-1.833716776,-1.514058081
ANAPC5,-1.397379056,-1.108117564
ANKH,-0.763262681,-0.762040621
ANKLE2,-1.441992705,-1.147649565
ANKRD11,-1.12550553,-0.924187362
ANKRD49,-1.882378868,-1.289700905
AP2M1,-1.574986878,-1.172470857
AP2S1,-2.264487181,-1.974209345
AQR,-1.054176484,-0.828825895
ARCN1,-1.424096837,-1.275383775
ARF4,-1.432230448,-1.154527345
ARGLU1,-1.011978033,-0.845085351
ARID1A,-0.821458082,-0.790730778
ARL2,-1.930989494,-1.57945975
ARMC7,-1.749188784,-1.40754455
ARNT,-0.900101085,-0.854239031
ARPC4,-0.861539569,-0.774609278
ASL,-1.071397203,-1.1152404
ASNA1,-2.695040942,-1.751860614
ASS1,-0.960028861,-0.927461705
ASUN,-1.198847741,-0.944618677
ATIC,-1.780284228,-1.412582795
ATP1A1,-1.17394587,-0.809071134
ATP1B3,-1.217873702,-1.268851069
ATP2A2,-2.48191713,-2.119966547
ATP5A1,-2.015307738,-1.559607542
ATP5B,-2.16843478,-1.305766989
ATP5D,-1.740602234,-1.257672355
ATP5H,-1.00924642,-0.832314374
ATP5O,-2.01316342,-0.990453586
ATP5SL,-1.44580488,-1.015564919
ATP6AP1,-1.263906007,-1.169495205
ATP6AP2,-1.844180345,-1.553183136
ATP6V0B,-1.04685843,-1.004499467
ATP6V0C,-2.704180106,-2.280732011
ATP6V0D1,-1.076747471,-0.77353681
ATP6V1A,-2.336657997,-2.310826612
ATP6V1B2,-1.802249616,-1.674150664
ATP6V1C1,-0.912649489,-0.769542888
ATP6V1D,-1.68856048,-1.49874877
ATP6V1E1,-1.058185862,-1.074032671
ATP6V1F,-1.45034147,-1.533667059
ATP6V1G1,-2.253083016,-1.384430152
ATP6V1H,-1.023651953,-1.136305439
ATR,-0.87387743,-0.813349336
AURKA,-0.763931284,-0.990180968
AURKAIP1,-2.620734122,-1.915694973
AURKB,-1.966981538,-1.756745042
BANF1,-1.979513802,-1.773210778
BANP,-1.610765664,-1.116710713
BAP1,-1.326964356,-1.024054414
BCCIP,-1.428533451,-1.351824918
BCL2,-1.358224751,-1.517273585
BCS1L,-2.707012328,-1.718351407
BOP1,-0.806388114,-0.815607904
BPTF,-1.336709792,-1.283441733
BRD2,-1.473102756,-1.334610284
BRD8,-1.138970344,-1.01455204
BRF1,-1.286291811,-1.020091648
BRF2,-0.877787778,-1.162667905
BTAF1,-1.737204294,-1.641703219
BUB1B,-1.124022417,-1.241492116
BUB3,-3.650580256,-2.556243777
BUD31,-1.521557548,-1.152987113
BYSL,-0.942751509,-0.99993785
C10orf2,-2.663405415,-1.660308311
C11orf57,-1.188367964,-1.063164761
C12orf45,-1.345688527,-1.069785505
C15orf41,-0.984264506,-0.858613587
C16orf80,-1.805156675,-1.122575564
C17orf89,-1.322427059,-1.032586543
C18orf21,-1.930222303,-1.836835679
C19orf52,-1.180908862,-0.956364871
C1orf109,-1.305627226,-0.975464851
C1orf112,-1.049036268,-0.811273243
C1QBP,-1.684210555,-0.996298117
C21orf59,-2.22619226,-1.866706867
C3orf17,-1.607082069,-1.562323353
C7orf26,-1.527716617,-1.542786522
C8orf59,-0.769006449,-0.871916245
C9orf114,-2.131655206,-1.795147761
C9orf78,-1.00405732,-0.941635014
CAB39,-1.938652193,-1.918897046
CAD,-1.40444964,-0.904473002
CARS2,-2.555085095,-1.04747936
CBFB,-1.740972381,-1.736552543
CCDC115,-1.559271006,-1.260207423
CCDC84,-1.591717342,-1.375098584
CCDC86,-1.796878591,-1.631771094
CCDC94,-1.223677313,-1.153148759
CCNA2,-1.577541635,-1.310243037
CCNC,-0.781122837,-0.77127947
CCND3,-2.484390081,-2.238100551
CCNF,-1.03349249,-0.854299715
CCNH,-1.928563842,-1.790688268
CCNK,-1.260687807,-1.359665247
CCT2,-2.031479499,-2.369362427
CCT3,-2.206966647,-1.935839467
CCT4,-2.151278363,-1.410213681
CCT5,-1.969340305,-1.35170313
CCT6A,-2.710134216,-2.391607364
CCT7,-1.739728837,-1.887541872
CCT8,-1.803376111,-1.133736322
CD3EAP,-1.571520772,-1.360353546
CDAN1,-2.468253243,-2.202208919
CDC123,-2.7143412,-2.519019284
CDC16,-1.765080303,-1.387756285
CDC20,-1.567694661,-1.100484524
CDC23,-1.334918071,-0.999063905
CDC27,-1.329197053,-1.103474722
CDC37,-1.381963472,-1.534738063
CDC45,-1.552446444,-1.549666948
CDC6,-1.450952268,-1.189715439
CDC7,-1.168639919,-1.020028943
CDC73,-1.489765557,-1.497048603
CDCA8,-2.457558186,-1.877206125
CDIPT,-3.096199947,-2.112881575
CDK1,-2.175475553,-1.780483221
CDK11A,-1.150139003,-1.222364783
CDK12,-1.358410652,-1.128172369
CDK6,-2.514133803,-1.738717233
